Name,ID,Experiment,Season,Beh.Cat,Condition,HR_Increase,mean10s
Dougal,8,Pre_Feeding,summer,High,foodPresentation,NA,39.89368754
Dougie,9,Pre_Feeding,autumn,Low,before,78.80718,99.80632
Dougie,9,Pre_Feeding,autumn,Low,foodPresentation,71.10327,55.65404167
Dougie,9,Pre_Feeding,summer,Low,before,NA,38.72724667
Dougie,9,Pre_Feeding,summer,Low,foodPresentation,24.22,49.00299333
Duke,10,Control,autumn,Low,control,NA,41.936892
Duke,10,Novel_Object,autumn,Low,dropObj,18.02368,41.86946
Duke,10,Novel_Object,autumn,Low,presentationObj,47.40114,56.00644444
Duke,10,Novel_Object,autumn,Low,removeObj,16.00401,54.39795111
Duke,10,Control,summer,High,control,72.98058,71.28666667
Duke,10,Novel_Object,summer,High,dropObj,NA,47.94942956
Duke,10,Novel_Object,summer,High,presentationObj,20.97,61.81084027
Duke,10,Novel_Object,summer,High,removeObj,NA,56.36907217
Hugo,11,Control,autumn,High,control,NA,42.26413857
Hugo,11,Novel_Object,autumn,High,dropObj,5.2507,41.196205
Hugo,11,Novel_Object,autumn,High,presentationObj,9.56018,48.63147857
Hugo,11,Novel_Object,autumn,High,removeObj,2.83071,45.100985
Hugo,11,Pre_Feeding,autumn,High,before,43.37616,83.287419
Hugo,11,Pre_Feeding,autumn,High,foodPresentation,9.7314,36.583825
Hugo,11,Control,summer,High,control,42.32118,60.6227
Hugo,11,Novel_Object,summer,High,dropObj,30.52972399,78.17302069
Hugo,11,Novel_Object,summer,High,presentationObj,NA,31.66135
Hugo,11,Novel_Object,summer,High,removeObj,20.06,35.719766
Hugo,11,Pre_Feeding,summer,High,before,NA,45.60015
Hugo,11,Pre_Feeding,summer,High,foodPresentation,7.5329,39.16532333
Jamaima,12,Control,autumn,Low,control,NA,38.95333286
Jamaima,12,Novel_Object,autumn,Low,dropObj,21.87885,58.66661286
Jamaima,12,Novel_Object,autumn,Low,presentationObj,34.52358,58.10768857
Jamaima,12,Pre_Feeding,autumn,Low,before,22.12416,46.48926429
Jamaima,12,Pre_Feeding,autumn,Low,foodPresentation,4.44684,44.13325
Jamaima,12,Control,summer,Low,control,-0.59341,29.460706
Jamaima,12,Novel_Object,summer,Low,dropObj,NA,39.47970584
Jamaima,12,Novel_Object,summer,Low,presentationObj,15.34671733,43.21975715
Jamaima,12,Novel_Object,summer,Low,removeObj,NA,39.84039286
Jamaima,12,Pre_Feeding,summer,Low,before,NA,36.41967833
Jamaima,12,Pre_Feeding,summer,Low,foodPresentation,14.49,37.11984333
Joey,13,Control,autumn,High,control,NA,41.62755857
Joey,13,Novel_Object,autumn,High,dropObj,7.3808,48.41311375
Joey,13,Novel_Object,autumn,High,presentationObj,1.61879,38.36610333
Joey,13,Novel_Object,autumn,High,removeObj,2.83864,38.39908667
Joey,13,Control,summer,High,control,39.49472,53.54115125
Joey,13,Novel_Object,summer,High,dropObj,25.18,60.310747
Joey,13,Novel_Object,summer,High,presentationObj,NA,41.64965
Joey,13,Novel_Object,summer,High,removeObj,26.09342,58.370354
